ID;NAME;TYPE;SRC;REFYEAR
18490453;ADECCO GROUP AG;FIN_REP;;
18490453;ADECCO GROUP AG;OTHER;;
18490453;ADECCO GROUP AG;OTHER;;
18490453;ADECCO GROUP AG;OTHER;;
18490453;ADECCO GROUP AG;OTHER;;
18490453;ADECCO GROUP AG;OTHER;;
18503381;JOHNSON CONTROLS INTERNATIONAL PUBLIC LIMITED COMPANY;FIN_REP;;
18503381;JOHNSON CONTROLS INTERNATIONAL PUBLIC LIMITED COMPANY;OTHER;;
18503381;JOHNSON CONTROLS INTERNATIONAL PUBLIC LIMITED COMPANY;OTHER;;
18503381;JOHNSON CONTROLS INTERNATIONAL PUBLIC LIMITED COMPANY;OTHER;;
18503381;JOHNSON CONTROLS INTERNATIONAL PUBLIC LIMITED COMPANY;OTHER;;
18503381;JOHNSON CONTROLS INTERNATIONAL PUBLIC LIMITED COMPANY;OTHER;;
18503440;MAGNA INTERNATIONAL INC;FIN_REP;;
18503440;MAGNA INTERNATIONAL INC;OTHER;;
18503440;MAGNA INTERNATIONAL INC;OTHER;;
18503440;MAGNA INTERNATIONAL INC;OTHER;;
18503440;MAGNA INTERNATIONAL INC;OTHER;;
18503440;MAGNA INTERNATIONAL INC;OTHER;;
18511746;PUBLICIS GROUPE S A;FIN_REP;;
18511746;PUBLICIS GROUPE S A;OTHER;;
18511746;PUBLICIS GROUPE S A;OTHER;;
18511746;PUBLICIS GROUPE S A;OTHER;;
18511746;PUBLICIS GROUPE S A;OTHER;;
18511746;PUBLICIS GROUPE S A;OTHER;;
18512048;GEBR. KNAUF;FIN_REP;;
18512048;GEBR. KNAUF;OTHER;;
18512048;GEBR. KNAUF;OTHER;;
18512048;GEBR. KNAUF;OTHER;;
18512048;GEBR. KNAUF;OTHER;;
18512048;GEBR. KNAUF;OTHER;;
18519151;BRIDGESTONE CORPORATION;FIN_REP;;
18519151;BRIDGESTONE CORPORATION;OTHER;;
18519151;BRIDGESTONE CORPORATION;OTHER;;
18519151;BRIDGESTONE CORPORATION;OTHER;;
18519151;BRIDGESTONE CORPORATION;OTHER;;
18519151;BRIDGESTONE CORPORATION;OTHER;;
18520469;FERRERO;FIN_REP;;
18520469;FERRERO;OTHER;;
18520469;FERRERO;OTHER;;
18520469;FERRERO;OTHER;;
18520469;FERRERO;OTHER;;
18520469;FERRERO;OTHER;;
18521399;SUMITOMO CORPORATION;FIN_REP;;
18521399;SUMITOMO CORPORATION;OTHER;;
18521399;SUMITOMO CORPORATION;OTHER;;
18521399;SUMITOMO CORPORATION;OTHER;;
18521399;SUMITOMO CORPORATION;OTHER;;
18521399;SUMITOMO CORPORATION;OTHER;;
18527213;COMPAGNIE DE SAINT GOBAIN;FIN_REP;;
18527213;COMPAGNIE DE SAINT GOBAIN;OTHER;;
18527213;COMPAGNIE DE SAINT GOBAIN;OTHER;;
18527213;COMPAGNIE DE SAINT GOBAIN;OTHER;;
18527213;COMPAGNIE DE SAINT GOBAIN;OTHER;;
18527213;COMPAGNIE DE SAINT GOBAIN;OTHER;;
18535882;ABBOTT LABORATORIES;FIN_REP;;
18535882;ABBOTT LABORATORIES;OTHER;;
18535882;ABBOTT LABORATORIES;OTHER;;
18535882;ABBOTT LABORATORIES;OTHER;;
18535882;ABBOTT LABORATORIES;OTHER;;
18535882;ABBOTT LABORATORIES;OTHER;;
18539093;BP P.L.C.;FIN_REP;;
18539093;BP P.L.C.;OTHER;;
18539093;BP P.L.C.;OTHER;;
18539093;BP P.L.C.;OTHER;;
18539093;BP P.L.C.;OTHER;;
18539093;BP P.L.C.;OTHER;;
18541762;ENGIE;FIN_REP;;
18541762;ENGIE;OTHER;;
18541762;ENGIE;OTHER;;
18541762;ENGIE;OTHER;;
18541762;ENGIE;OTHER;;
18541762;ENGIE;OTHER;;
18543139;DENTSU GROUP INC.;FIN_REP;;
18543139;DENTSU GROUP INC.;OTHER;;
18543139;DENTSU GROUP INC.;OTHER;;
18543139;DENTSU GROUP INC.;OTHER;;
18543139;DENTSU GROUP INC.;OTHER;;
18543139;DENTSU GROUP INC.;OTHER;;
18552002;THYSSENKRUPP;FIN_REP;;
18552002;THYSSENKRUPP;OTHER;;
18552002;THYSSENKRUPP;OTHER;;
18552002;THYSSENKRUPP;OTHER;;
18552002;THYSSENKRUPP;OTHER;;
18552002;THYSSENKRUPP;OTHER;;
18573648;VOESTALPINE GROUP;FIN_REP;;
18573648;VOESTALPINE GROUP;OTHER;;
18573648;VOESTALPINE GROUP;OTHER;;
18573648;VOESTALPINE GROUP;OTHER;;
18573648;VOESTALPINE GROUP;OTHER;;
18573648;VOESTALPINE GROUP;OTHER;;
18573835;ORANGE;FIN_REP;;
18573835;ORANGE;OTHER;;
18573835;ORANGE;OTHER;;
18573835;ORANGE;OTHER;;
18573835;ORANGE;OTHER;;
18573835;ORANGE;OTHER;;
18581640;ORACLE CORP;FIN_REP;;
18581640;ORACLE CORP;OTHER;;
18581640;ORACLE CORP;OTHER;;
18581640;ORACLE CORP;OTHER;;
18581640;ORACLE CORP;OTHER;;
18581640;ORACLE CORP;OTHER;;
18587386;ACCOR;FIN_REP;;
18587386;ACCOR;OTHER;;
18587386;ACCOR;OTHER;;
18587386;ACCOR;OTHER;;
18587386;ACCOR;OTHER;;
18587386;ACCOR;OTHER;;
18591402;PROCTER & GAMBLE CO;FIN_REP;;
18591402;PROCTER & GAMBLE CO;OTHER;;
18591402;PROCTER & GAMBLE CO;OTHER;;
18591402;PROCTER & GAMBLE CO;OTHER;;
18591402;PROCTER & GAMBLE CO;OTHER;;
18591402;PROCTER & GAMBLE CO;OTHER;;
18599238;FCC;FIN_REP;;
18599238;FCC;OTHER;;
18599238;FCC;OTHER;;
18599238;FCC;OTHER;;
18599238;FCC;OTHER;;
18599238;FCC;OTHER;;
18606822;SOCIETE NATIONALE SNCF;FIN_REP;;
18606822;SOCIETE NATIONALE SNCF;OTHER;;
18606822;SOCIETE NATIONALE SNCF;OTHER;;
18606822;SOCIETE NATIONALE SNCF;OTHER;;
18606822;SOCIETE NATIONALE SNCF;OTHER;;
18606822;SOCIETE NATIONALE SNCF;OTHER;;
18611599;ATLAS COPCO AKTIEBOLAG;FIN_REP;;
18611599;ATLAS COPCO AKTIEBOLAG;OTHER;;
18611599;ATLAS COPCO AKTIEBOLAG;OTHER;;
18611599;ATLAS COPCO AKTIEBOLAG;OTHER;;
18611599;ATLAS COPCO AKTIEBOLAG;OTHER;;
18611599;ATLAS COPCO AKTIEBOLAG;OTHER;;
18618947;AKTIEBOLAGET SKF;FIN_REP;;
18618947;AKTIEBOLAGET SKF;OTHER;;
18618947;AKTIEBOLAGET SKF;OTHER;;
18618947;AKTIEBOLAGET SKF;OTHER;;
18618947;AKTIEBOLAGET SKF;OTHER;;
18618947;AKTIEBOLAGET SKF;OTHER;;
18622186;JOHN WOOD GROUP PLC;FIN_REP;;
18622186;JOHN WOOD GROUP PLC;OTHER;;
18622186;JOHN WOOD GROUP PLC;OTHER;;
18622186;JOHN WOOD GROUP PLC;OTHER;;
18622186;JOHN WOOD GROUP PLC;OTHER;;
18622186;JOHN WOOD GROUP PLC;OTHER;;
18627417;FUJITSU LIMITED;FIN_REP;;
18627417;FUJITSU LIMITED;OTHER;;
18627417;FUJITSU LIMITED;OTHER;;
18627417;FUJITSU LIMITED;OTHER;;
18627417;FUJITSU LIMITED;OTHER;;
18627417;FUJITSU LIMITED;OTHER;;
18629376;CRH PLC;FIN_REP;;
18629376;CRH PLC;OTHER;;
18629376;CRH PLC;OTHER;;
18629376;CRH PLC;OTHER;;
18629376;CRH PLC;OTHER;;
18629376;CRH PLC;OTHER;;
18632343;DEUTSCHE BAHN;FIN_REP;;
18632343;DEUTSCHE BAHN;OTHER;;
18632343;DEUTSCHE BAHN;OTHER;;
18632343;DEUTSCHE BAHN;OTHER;;
18632343;DEUTSCHE BAHN;OTHER;;
18632343;DEUTSCHE BAHN;OTHER;;
18636888;CARGILL;FIN_REP;;
18636888;CARGILL;OTHER;;
18636888;CARGILL;OTHER;;
18636888;CARGILL;OTHER;;
18636888;CARGILL;OTHER;;
18636888;CARGILL;OTHER;;
18644473;WARNER BROS. DISCOVERY INC.;FIN_REP;;
18644473;WARNER BROS. DISCOVERY INC.;OTHER;;
18644473;WARNER BROS. DISCOVERY INC.;OTHER;;
18644473;WARNER BROS. DISCOVERY INC.;OTHER;;
18644473;WARNER BROS. DISCOVERY INC.;OTHER;;
18644473;WARNER BROS. DISCOVERY INC.;OTHER;;
18646411;GENERAL ELECTRIC COMPANY;FIN_REP;;
18646411;GENERAL ELECTRIC COMPANY;OTHER;;
18646411;GENERAL ELECTRIC COMPANY;OTHER;;
18646411;GENERAL ELECTRIC COMPANY;OTHER;;
18646411;GENERAL ELECTRIC COMPANY;OTHER;;
18646411;GENERAL ELECTRIC COMPANY;OTHER;;
18648074;SAFRAN;FIN_REP;;
18648074;SAFRAN;OTHER;;
18648074;SAFRAN;OTHER;;
18648074;SAFRAN;OTHER;;
18648074;SAFRAN;OTHER;;
18648074;SAFRAN;OTHER;;
18658675;BASF;FIN_REP;;
18658675;BASF;OTHER;;
18658675;BASF;OTHER;;
18658675;BASF;OTHER;;
18658675;BASF;OTHER;;
18658675;BASF;OTHER;;
18665236;APTIV PLC;FIN_REP;;
18665236;APTIV PLC;OTHER;;
18665236;APTIV PLC;OTHER;;
18665236;APTIV PLC;OTHER;;
18665236;APTIV PLC;OTHER;;
18665236;APTIV PLC;OTHER;;
18673760;WPP PLC;FIN_REP;;
18673760;WPP PLC;OTHER;;
18673760;WPP PLC;OTHER;;
18673760;WPP PLC;OTHER;;
18673760;WPP PLC;OTHER;;
18673760;WPP PLC;OTHER;;
18685228;GI GROUP;FIN_REP;;
18685228;GI GROUP;OTHER;;
18685228;GI GROUP;OTHER;;
18685228;GI GROUP;OTHER;;
18685228;GI GROUP;OTHER;;
18685228;GI GROUP;OTHER;;
18686668;ACCIONA;FIN_REP;;
18686668;ACCIONA;OTHER;;
18686668;ACCIONA;OTHER;;
18686668;ACCIONA;OTHER;;
18686668;ACCIONA;OTHER;;
18686668;ACCIONA;OTHER;;
18691645;FLETCHER GROUP;FIN_REP;;
18691645;FLETCHER GROUP;OTHER;;
18691645;FLETCHER GROUP;OTHER;;
18691645;FLETCHER GROUP;OTHER;;
18691645;FLETCHER GROUP;OTHER;;
18691645;FLETCHER GROUP;OTHER;;
18694033;SODEXO;FIN_REP;;
18694033;SODEXO;OTHER;;
18694033;SODEXO;OTHER;;
18694033;SODEXO;OTHER;;
18694033;SODEXO;OTHER;;
18694033;SODEXO;OTHER;;
18700025;ADVANCE PROPERTIES;FIN_REP;;
18700025;ADVANCE PROPERTIES;OTHER;;
18700025;ADVANCE PROPERTIES;OTHER;;
18700025;ADVANCE PROPERTIES;OTHER;;
18700025;ADVANCE PROPERTIES;OTHER;;
18700025;ADVANCE PROPERTIES;OTHER;;
18705450;AKZO NOBEL NV;FIN_REP;;
18705450;AKZO NOBEL NV;OTHER;;
18705450;AKZO NOBEL NV;OTHER;;
18705450;AKZO NOBEL NV;OTHER;;
18705450;AKZO NOBEL NV;OTHER;;
18705450;AKZO NOBEL NV;OTHER;;
18709351;DIOR;FIN_REP;;
18709351;DIOR;OTHER;;
18709351;DIOR;OTHER;;
18709351;DIOR;OTHER;;
18709351;DIOR;OTHER;;
18709351;DIOR;OTHER;;
18712196;AMAZON;FIN_REP;;
18712196;AMAZON;OTHER;;
18712196;AMAZON;OTHER;;
18712196;AMAZON;OTHER;;
18712196;AMAZON;OTHER;;
18712196;AMAZON;OTHER;;
18715555;SONY GROUP CORPORATION;FIN_REP;;
18715555;SONY GROUP CORPORATION;OTHER;;
18715555;SONY GROUP CORPORATION;OTHER;;
18715555;SONY GROUP CORPORATION;OTHER;;
18715555;SONY GROUP CORPORATION;OTHER;;
18715555;SONY GROUP CORPORATION;OTHER;;
18718848;SONOVA;FIN_REP;;
18718848;SONOVA;OTHER;;
18718848;SONOVA;OTHER;;
18718848;SONOVA;OTHER;;
18718848;SONOVA;OTHER;;
18718848;SONOVA;OTHER;;
18731292;IKEA;FIN_REP;;
18731292;IKEA;OTHER;;
18731292;IKEA;OTHER;;
18731292;IKEA;OTHER;;
18731292;IKEA;OTHER;;
18731292;IKEA;OTHER;;
18736044;SECURITAS AB;FIN_REP;;
18736044;SECURITAS AB;OTHER;;
18736044;SECURITAS AB;OTHER;;
18736044;SECURITAS AB;OTHER;;
18736044;SECURITAS AB;OTHER;;
18736044;SECURITAS AB;OTHER;;
18742207;AIRBUS SE;FIN_REP;;
18742207;AIRBUS SE;OTHER;;
18742207;AIRBUS SE;OTHER;;
18742207;AIRBUS SE;OTHER;;
18742207;AIRBUS SE;OTHER;;
18742207;AIRBUS SE;OTHER;;
18745703;ETEX;FIN_REP;;
18745703;ETEX;OTHER;;
18745703;ETEX;OTHER;;
18745703;ETEX;OTHER;;
18745703;ETEX;OTHER;;
18745703;ETEX;OTHER;;
18748693;SIEMENS;FIN_REP;;
18748693;SIEMENS;OTHER;;
18748693;SIEMENS;OTHER;;
18748693;SIEMENS;OTHER;;
18748693;SIEMENS;OTHER;;
18748693;SIEMENS;OTHER;;
18754669;VODAFONE GROUP PLC;FIN_REP;;
18754669;VODAFONE GROUP PLC;OTHER;;
18754669;VODAFONE GROUP PLC;OTHER;;
18754669;VODAFONE GROUP PLC;OTHER;;
18754669;VODAFONE GROUP PLC;OTHER;;
18754669;VODAFONE GROUP PLC;OTHER;;
18755204;HBIS GROUP CO. LTD.;FIN_REP;;
18755204;HBIS GROUP CO. LTD.;OTHER;;
18755204;HBIS GROUP CO. LTD.;OTHER;;
18755204;HBIS GROUP CO. LTD.;OTHER;;
18755204;HBIS GROUP CO. LTD.;OTHER;;
18755204;HBIS GROUP CO. LTD.;OTHER;;
18761094;MOL HUNGARIAN OIL AND GAS;FIN_REP;;
18761094;MOL HUNGARIAN OIL AND GAS;OTHER;;
18761094;MOL HUNGARIAN OIL AND GAS;OTHER;;
18761094;MOL HUNGARIAN OIL AND GAS;OTHER;;
18761094;MOL HUNGARIAN OIL AND GAS;OTHER;;
18761094;MOL HUNGARIAN OIL AND GAS;OTHER;;
18763081;DSV A/S;FIN_REP;;
18763081;DSV A/S;OTHER;;
18763081;DSV A/S;OTHER;;
18763081;DSV A/S;OTHER;;
18763081;DSV A/S;OTHER;;
18763081;DSV A/S;OTHER;;
18767600;KRONES;FIN_REP;;
18767600;KRONES;OTHER;;
18767600;KRONES;OTHER;;
18767600;KRONES;OTHER;;
18767600;KRONES;OTHER;;
18767600;KRONES;OTHER;;
18773773;KONECRANES;FIN_REP;;
18773773;KONECRANES;OTHER;;
18773773;KONECRANES;OTHER;;
18773773;KONECRANES;OTHER;;
18773773;KONECRANES;OTHER;;
18773773;KONECRANES;OTHER;;
18774479;SANDVIK AKTIEBOLAG;FIN_REP;;
18774479;SANDVIK AKTIEBOLAG;OTHER;;
18774479;SANDVIK AKTIEBOLAG;OTHER;;
18774479;SANDVIK AKTIEBOLAG;OTHER;;
18774479;SANDVIK AKTIEBOLAG;OTHER;;
18774479;SANDVIK AKTIEBOLAG;OTHER;;
18774712;SKANSKA AB;FIN_REP;;
18774712;SKANSKA AB;OTHER;;
18774712;SKANSKA AB;OTHER;;
18774712;SKANSKA AB;OTHER;;
18774712;SKANSKA AB;OTHER;;
18774712;SKANSKA AB;OTHER;;
18774867;SANOFI;FIN_REP;;
18774867;SANOFI;OTHER;;
18774867;SANOFI;OTHER;;
18774867;SANOFI;OTHER;;
18774867;SANOFI;OTHER;;
18774867;SANOFI;OTHER;;
18778752;WURTH;FIN_REP;;
18778752;WURTH;OTHER;;
18778752;WURTH;OTHER;;
18778752;WURTH;OTHER;;
18778752;WURTH;OTHER;;
18778752;WURTH;OTHER;;
18784770;AKTIEBOLAGET VOLVO;FIN_REP;;
18784770;AKTIEBOLAGET VOLVO;OTHER;;
18784770;AKTIEBOLAGET VOLVO;OTHER;;
18784770;AKTIEBOLAGET VOLVO;OTHER;;
18784770;AKTIEBOLAGET VOLVO;OTHER;;
18784770;AKTIEBOLAGET VOLVO;OTHER;;
18796310;TOTALENERGIES SE;FIN_REP;;
18796310;TOTALENERGIES SE;OTHER;;
18796310;TOTALENERGIES SE;OTHER;;
18796310;TOTALENERGIES SE;OTHER;;
18796310;TOTALENERGIES SE;OTHER;;
18796310;TOTALENERGIES SE;OTHER;;
18802249;BRITISH AMERICAN TOBACCO PLC;FIN_REP;;
18802249;BRITISH AMERICAN TOBACCO PLC;OTHER;;
18802249;BRITISH AMERICAN TOBACCO PLC;OTHER;;
18802249;BRITISH AMERICAN TOBACCO PLC;OTHER;;
18802249;BRITISH AMERICAN TOBACCO PLC;OTHER;;
18802249;BRITISH AMERICAN TOBACCO PLC;OTHER;;
18803013;NIPPON STEEL CORPORATION;FIN_REP;;
18803013;NIPPON STEEL CORPORATION;OTHER;;
18803013;NIPPON STEEL CORPORATION;OTHER;;
18803013;NIPPON STEEL CORPORATION;OTHER;;
18803013;NIPPON STEEL CORPORATION;OTHER;;
18803013;NIPPON STEEL CORPORATION;OTHER;;
18805524;KONINKLIJKE AHOLD DELHAIZE NV;FIN_REP;;
18805524;KONINKLIJKE AHOLD DELHAIZE NV;OTHER;;
18805524;KONINKLIJKE AHOLD DELHAIZE NV;OTHER;;
18805524;KONINKLIJKE AHOLD DELHAIZE NV;OTHER;;
18805524;KONINKLIJKE AHOLD DELHAIZE NV;OTHER;;
18805524;KONINKLIJKE AHOLD DELHAIZE NV;OTHER;;
18808977;PFIZER INC;FIN_REP;;
18808977;PFIZER INC;OTHER;;
18808977;PFIZER INC;OTHER;;
18808977;PFIZER INC;OTHER;;
18808977;PFIZER INC;OTHER;;
18808977;PFIZER INC;OTHER;;
18812865;COCA-COLA COMPANY (THE);FIN_REP;;
18812865;COCA-COLA COMPANY (THE);OTHER;;
18812865;COCA-COLA COMPANY (THE);OTHER;;
18812865;COCA-COLA COMPANY (THE);OTHER;;
18812865;COCA-COLA COMPANY (THE);OTHER;;
18812865;COCA-COLA COMPANY (THE);OTHER;;
18813820;CATERPILLAR INC;FIN_REP;;
18813820;CATERPILLAR INC;OTHER;;
18813820;CATERPILLAR INC;OTHER;;
18813820;CATERPILLAR INC;OTHER;;
18813820;CATERPILLAR INC;OTHER;;
